"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Givetian",NULL,NULL,NULL
"Guzhangian","497","500.5","Ma"
"Hettangian (Jurassic)",NULL,NULL,NULL
"Historic","18","18","years"
"Historic",NULL,NULL,NULL
"holocene",NULL,NULL,NULL
"Holocene","-68",NULL,"years"
"Holocene","-64","365","years"
"Holocene","-64","530","years"
"Holocene","-64","1260","years"
"Holocene","-64","2750","years"
"Holocene","0","0.01","Ma"
"Holocene","0","12000","years"
"Holocene","0","16000","years"
"Holocene","0","73000","years"
"Holocene","0","74000","years"
"Holocene","0.1","0.35","Ka"
"Holocene","0.95","2.4","Ka"
"Holocene","3","5.2","Ka"
"Holocene","10","12","Ka"
"Holocene","100","120","years"
"Holocene","142","143","years"
"Holocene","420","425","years"
"Holocene","2000",NULL,"years"
"Holocene","2017",NULL,"years"
"Holocene","2484","2499","Years"
"Holocene","2800","2800","years"
"Holocene","2897","2909","Years"
"Holocene","3228","3242","Years"
"Holocene","3382","3407","Years"
"Holocene","3650","3650","years"
"Holocene","3733","3753","Years"
"Holocene","4095","4111","Years"
"Holocene","4150","4410","ka BP"
"Holocene","4524","4531","Years"
"Holocene","4726","4733","Years"
"Holocene","4772","4789","Years"
"Holocene","5008","5026","Years"
"Holocene","5032","5044","Years"
"Holocene","5089","5098","Years"
"Holocene","5123","5131","Years"
"Holocene","5132","5139","Years"
"Holocene","6284","6309","Years"
"Holocene","12000",NULL,"years"
"Holocene","20000",NULL,"years"
"Holocene","30000",NULL,"years"
"Holocene",NULL,"0","years"
"Holocene",NULL,"2","years"
"Holocene",NULL,"10","years"
"Holocene",NULL,"20","years"
"Holocene",NULL,"30","years"
"Holocene",NULL,"50","years"
"Holocene",NULL,"100","years"
"Holocene",NULL,"130","years"
"Holocene",NULL,"150","years"
"Holocene",NULL,"200","years"
"Holocene",NULL,"250","years"
"Holocene",NULL,"300","years"
"Holocene",NULL,"350","years"
"Holocene",NULL,"500","years"
"Holocene",NULL,"750","years"
"Holocene",NULL,"800","years"
"Holocene",NULL,"1000","years"
"Holocene",NULL,"1100","years"
"Holocene",NULL,"1400","years"
"Holocene",NULL,"1500","years"
"Holocene",NULL,"2000","years"
"Holocene",NULL,"2500","years"
"Holocene",NULL,"2750","years"
"Holocene",NULL,"3000","years"
"Holocene",NULL,"3500","years"
"Holocene",NULL,"4500","years"
"Holocene",NULL,"5000","years"
"Holocene",NULL,"6000","years"
"Holocene",NULL,"7000","years"
"Holocene",NULL,"8000","years"
"Holocene",NULL,"9000","years"
"Holocene",NULL,"10000","years"
"Holocene",NULL,"11500","years"
"Holocene",NULL,"12000","years"
"Holocene",NULL,"13000","years"
"Holocene",NULL,"19000","years"
"Holocene",NULL,"20000","years"
"Holocene",NULL,NULL,NULL
"HOLOCENE","0","200","years"
"HOLOCENE",NULL,"200","years"
"HOLOCENE",NULL,NULL,NULL
"Holocene-Pleistocene",NULL,NULL,NULL
"Holocene-Tertiary",NULL,NULL,NULL
"Homerian","427.4","430.5","Ma"
"Hoocene","1968",NULL,"AD years"
"Hoocene",NULL,NULL,NULL
"Jiangshanian","489.5","494","Ma"
"Juassic",NULL,NULL,NULL
"Jurassic","144",NULL,"million years (Ma)"
"Jurassic","151.2","151.4","Ma"
"Jurassic","164","166","Ma"
"Jurassic","170","173","Ma"
"Jurassic","171","173","Ma"
"Jurassic",NULL,"148",NULL
"Jurassic",NULL,"152",NULL
"Jurassic",NULL,"154",NULL
"Jurassic",NULL,"157",NULL
"Jurassic",NULL,"159",NULL
"Jurassic",NULL,"160",NULL
"Jurassic",NULL,"162",NULL
"Jurassic",NULL,"163",NULL
"Jurassic",NULL,"165",NULL
"Jurassic",NULL,"168",NULL
"Jurassic",NULL,"170",NULL
"Jurassic",NULL,"171",NULL
"Jurassic",NULL,"172",NULL
"Jurassic",NULL,"194",NULL
"Jurassic",NULL,NULL,NULL
"Jurassic- Cretaceous (?)",NULL,NULL,NULL
"Jurassic-Triassic",NULL,NULL,NULL
"Jurassic–Cretaceous","55","155","million years (Ma)"
"Jurassic–Cretaceous","75","151","million years (Ma)"
"Jurassic–Cretaceous",NULL,NULL,NULL
"Jurassic > Lower/Early",NULL,NULL,NULL
"Jurassic > Middle",NULL,NULL,NULL
"Jurassic > Upper/Late",NULL,NULL,NULL
"Jurassic > Upper/Late > Kimmeridgian",NULL,NULL,NULL
"Jurassic > Upper/Late > Oxfordian",NULL,NULL,NULL
"Jurassic or Cretaceous?",NULL,NULL,NULL
"Jurassic to Cretaceous",NULL,NULL,NULL
"Jurassic, Pliensbachian",NULL,NULL,NULL
"Jurassic, Sinemurian",NULL,NULL,NULL
"Jurassic/Cretaceous",NULL,NULL,NULL
"Jurassic?",NULL,"173",NULL
"Jurassic?",NULL,"178",NULL
"Jurassic?",NULL,"467",NULL
"Jurassic?",NULL,NULL,NULL
"Jurrasic and Pennsylvanian",NULL,NULL,NULL
"Katian","445.2","453","Ma"
"Katian",NULL,NULL,NULL
"Katian, Pirgu Regional Stage",NULL,NULL,NULL
"Kimmeridgian",NULL,NULL,NULL
"Kimmeridgian-Tithonian",NULL,NULL,NULL
"Kimmeridgian ",NULL,NULL,NULL
"Last Interglacial",NULL,NULL,NULL
"Late-Pleistocene to Holocene",NULL,NULL,NULL
"late Archean",NULL,"2540","Ma"
"late Archean",NULL,"2570","Ma"
"late Archean",NULL,"2629","Ma"
"Late Cambrian - Early Ordovician",NULL,NULL,NULL
"late Cretaceous",NULL,NULL,NULL
"Late Cretaceous","70","79","Ma"
"Late Cretaceous","71","76","Ma"
"Late Cretaceous","79.6","97.8","million years (Ma)"
"Late Cretaceous","81.1","85.3","Ma"
"Late Cretaceous","93","96.4","Ma"
"Late Cretaceous","94.2","97.8","Ma"
"Late Cretaceous","94.5","95.7","Ma"
"Late Cretaceous","95.8","97","Ma"
