"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
1,NULL,NULL,NULL,"-598.8",NULL,NULL
2,NULL,NULL,NULL,"64.92","2301.54",NULL
2,NULL,NULL,NULL,"800","658","MSL"
2,NULL,NULL,NULL,"145","25","MSL"
2,NULL,NULL,NULL,"97.84","1443.23",NULL
2,NULL,NULL,NULL,"1.52","900.07",NULL
2,NULL,NULL,NULL,"102.41","1464.56",NULL
2,NULL,NULL,NULL,"105.77","737.62",NULL
2,NULL,NULL,NULL,"158.8","612.65",NULL
2,NULL,NULL,NULL,"128.02","536.45",NULL
2,NULL,NULL,NULL,"874",NULL,NULL
1,NULL,NULL,NULL,"-889.32",NULL,NULL
2,NULL,NULL,NULL,"376.9","-1763.1","MSL"
1,NULL,NULL,NULL,"-1682",NULL,NULL
2,NULL,NULL,NULL,"75.59","1564.23",NULL
1,NULL,NULL,NULL,"-2512.93",NULL,NULL
2,NULL,NULL,NULL,"39.32","-1000.96",NULL
2,NULL,NULL,NULL,"166.12","1013.46",NULL
2,NULL,NULL,NULL,"-4967.1",NULL,NULL
2,NULL,NULL,NULL,"200","183.5","MSL"
2,NULL,NULL,NULL,"109.73","697.99",NULL
2,NULL,NULL,NULL,"755","642.5","MSL"
2,NULL,NULL,NULL,"155.14","582.78",NULL
2,NULL,NULL,NULL,"137.16","1161.29",NULL
1,NULL,NULL,NULL,"129.778137166",NULL,NULL
2,NULL,NULL,NULL,"273","177","MSL"
2,NULL,NULL,NULL,"82.91","-1064.97",NULL
2,NULL,NULL,NULL,"117.65","457.2",NULL
2,NULL,NULL,NULL,"122.22","3896.26",NULL
1,NULL,NULL,NULL,"-2594.825",NULL,NULL
2,NULL,NULL,NULL,"176.78","628.5",NULL
2,NULL,NULL,NULL,"97.54","2016.56",NULL
2,NULL,NULL,NULL,"185.62","454.15",NULL
1,NULL,NULL,NULL,"-998.8",NULL,NULL
2,NULL,NULL,NULL,"213","-12287",NULL
2,NULL,NULL,NULL,"62.18","-963.47",NULL
2,NULL,NULL,NULL,"1653",NULL,NULL
2,NULL,NULL,NULL,"118.87","1107.95",NULL
2,NULL,NULL,NULL,"70.41","3526.54",NULL
2,NULL,NULL,NULL,"99.36","1828.8",NULL
2,NULL,NULL,NULL,"206.04","1005.84",NULL
2,NULL,NULL,NULL,"212",NULL,NULL
1,NULL,NULL,NULL,"-2499.51",NULL,NULL
2,NULL,NULL,NULL,"139.6","624.84",NULL
2,NULL,NULL,NULL,"115.52","908.91",NULL
2,NULL,NULL,NULL,"-1149.6",NULL,NULL
2,NULL,NULL,NULL,"117.96","536.45",NULL
2,NULL,NULL,NULL,"-2091.7",NULL,NULL
1,"30","40","cm","1961",NULL,NULL
1,NULL,NULL,NULL,"-738.5",NULL,NULL
2,NULL,NULL,NULL,"79.55","-4035.25",NULL
2,NULL,NULL,NULL,"27.74","4703.37",NULL
2,NULL,NULL,NULL,"71.02","-1427.07",NULL
2,NULL,NULL,NULL,"137.46","1187.2",NULL
2,NULL,NULL,NULL,"146.61","1531.32",NULL
2,NULL,NULL,NULL,"97.54","539.5",NULL
2,NULL,NULL,NULL,"133.5","445.62",NULL
1,NULL,NULL,NULL,"-1784.71",NULL,NULL
1,NULL,NULL,NULL,"-2507.07",NULL,NULL
1,NULL,NULL,NULL,"-2704",NULL,NULL
2,NULL,NULL,NULL,"-2804.1",NULL,NULL
2,NULL,NULL,NULL,"155.45","762.91",NULL
2,NULL,NULL,NULL,"117.04","1591.06",NULL
1,NULL,NULL,NULL,"-4704",NULL,NULL
1,NULL,NULL,NULL,"-186.8",NULL,NULL
2,NULL,NULL,NULL,"-10","-36",NULL
2,NULL,NULL,NULL,"104.85","3383.28",NULL
2,NULL,NULL,NULL,"134.11","3843.53",NULL
2,NULL,NULL,NULL,"9.14","1668.78",NULL
2,NULL,NULL,NULL,"134.72","618.74",NULL
2,NULL,NULL,NULL,"1634.71",NULL,NULL
2,NULL,NULL,NULL,"272.4","-1667.6","MSL"
2,NULL,NULL,NULL,"172.52","541.02",NULL
1,NULL,NULL,NULL,"-2309",NULL,NULL
2,NULL,NULL,NULL,"194.77","1190.24",NULL
1,NULL,NULL,NULL,"314.2",NULL,"MSL"
2,NULL,NULL,NULL,"130.45","591.31",NULL
1,NULL,NULL,NULL,"-5801",NULL,NULL
2,"180","190","cm",NULL,NULL,NULL
2,NULL,NULL,NULL,"-5004",NULL,NULL
2,NULL,NULL,NULL,"143.56","537.97",NULL
2,NULL,NULL,NULL,"181.05","859.54",NULL
2,NULL,NULL,NULL,"183.79","730",NULL
2,NULL,NULL,NULL,"-3964",NULL,NULL
1,NULL,NULL,NULL,"333.6",NULL,"MSL"
1,NULL,NULL,NULL,"130",NULL,NULL
2,NULL,NULL,NULL,"665","365","MSL"
1,NULL,NULL,NULL,"722",NULL,NULL
1,"150","160","cm","1909",NULL,NULL
2,NULL,NULL,NULL,"41.76","2089.71",NULL
1,NULL,NULL,NULL,"-961",NULL,NULL
2,NULL,NULL,NULL,"64.31","3493.01",NULL
2,NULL,NULL,NULL,"159.72","786.08",NULL
2,NULL,NULL,NULL,"109.12","922.02",NULL
2,NULL,NULL,NULL,"186.23","764.13",NULL
2,NULL,NULL,NULL,"67.67","-1166.77",NULL
2,NULL,NULL,NULL,"63.7","3566.16",NULL
2,NULL,NULL,NULL,"71.63","1135.38",NULL
2,NULL,NULL,NULL,"99.36","-1363.68",NULL
1,NULL,NULL,NULL,"762",NULL,NULL
2,NULL,NULL,NULL,"157.89","896.11",NULL
1,NULL,NULL,NULL,"-969.28",NULL,NULL
2,NULL,NULL,NULL,"101.19","3520.44",NULL
2,NULL,NULL,NULL,"149.35","510.54",NULL
2,NULL,NULL,NULL,"109.12","911.35",NULL
2,NULL,NULL,NULL,"103.63","2257.65",NULL
2,NULL,NULL,NULL,"-3824.8",NULL,NULL
2,NULL,NULL,NULL,"6.71","2499.36",NULL
2,NULL,NULL,NULL,"217.63","-498.65",NULL
1,NULL,NULL,NULL,"-414",NULL,NULL
2,NULL,NULL,NULL,"-1643.1",NULL,NULL
2,NULL,NULL,NULL,"138.68","583.69",NULL
1,NULL,NULL,NULL,"2445.941406",NULL,NULL
2,NULL,NULL,NULL,"192.02","610.21",NULL
2,NULL,NULL,NULL,"60.35","1082.04",NULL
2,NULL,NULL,NULL,"523.82",NULL,NULL
2,NULL,NULL,NULL,"106.98","1432.56",NULL
2,NULL,NULL,NULL,"210.62","1077.47",NULL
2,NULL,NULL,NULL,"128.32","435.86",NULL
1,NULL,NULL,NULL,"-2676",NULL,NULL
2,NULL,NULL,NULL,"79.86","1085.09",NULL
1,NULL,NULL,NULL,"-617.68",NULL,NULL
2,NULL,NULL,NULL,"-272",NULL,NULL
2,NULL,NULL,NULL,"55.17","5486.4",NULL
2,NULL,NULL,NULL,"176.9","-2443.1","MSL"
2,NULL,NULL,NULL,"63.7","1679.45",NULL
1,NULL,NULL,NULL,"619",NULL,NULL
1,NULL,NULL,NULL,"-988",NULL,NULL
2,NULL,NULL,NULL,"-4672.7",NULL,NULL
2,NULL,NULL,NULL,"67.67","1706.88",NULL
2,NULL,NULL,NULL,"150.88","843.99",NULL
2,NULL,NULL,NULL,"-1010.6",NULL,NULL
2,NULL,NULL,NULL,"108.81","1007.06",NULL
2,NULL,NULL,NULL,"705","625","MSL"
1,NULL,NULL,NULL,"-12.5",NULL,"NAVD88"
2,NULL,NULL,NULL,"223.11","1147.57",NULL
2,NULL,NULL,NULL,"200.56","1310.64",NULL
2,NULL,NULL,NULL,"115.52","672.08",NULL
2,NULL,NULL,NULL,"116.43","1159.15",NULL
2,NULL,NULL,NULL,"42.98","3956.3",NULL
2,NULL,NULL,NULL,"62.79","4404.36",NULL
2,NULL,NULL,NULL,"648","52","MSL"
