classification_id,material_id,classification_label,label,description,material_role_id
3143,3143,Jamesonite,Jamesonite,,
3144,3144,Janggunite,Janggunite,,
3145,3145,Janhaugite,Janhaugite,,
3146,3146,Jankovicite,Jankovicite,,
3147,3147,Jarlite,Jarlite,,
3148,3148,Jarosewichite,Jarosewichite,,
3149,3149,Jarosite,Jarosite,,
3150,3150,Jaskolskiite,Jaskolskiite,,
3151,3151,Jasmundite,Jasmundite,,
3152,3152,Jeanbandyite,Jeanbandyite,,
3153,3153,Jedwabite,Jedwabite,,
3154,3154,Jeffreyite,Jeffreyite,,
3155,3155,Jennite,Jennite,,
3156,3156,Jensenite,Jensenite,,
3157,3157,Jentschite,Jentschite,,
3158,3158,Jeppeite,Jeppeite,,
3159,3159,Jeremejevite,Jeremejevite,,
3160,3160,Jeromite,Jeromite,,
3161,3161,Jerrygibbsite,Jerrygibbsite,,
3162,3162,Jervisite,Jervisite,,
3163,3163,Jianshiite,Jianshiite,,
3164,3164,Jianshuiite,Jianshuiite,,
3165,3165,Jimboite,Jimboite,,
3166,3166,Jimthompsonite,Jimthompsonite,,
3167,3167,Jinshajiangite,Jinshajiangite,,
3168,3168,Jixianite,Jixianite,,
3169,3169,Joaquinite-(Ce),Joaquinite-(Ce),,
3170,3170,Joesmithite,Joesmithite,,
3171,3171,Johachidolite,Johachidolite,,
3172,3172,Johannite,Johannite,,
3173,3173,Johannsenite,Johannsenite,,
3174,3174,Johillerite,Johillerite,,
3175,3175,Johnbaumite,Johnbaumite,,
3176,3176,Johninnesite,Johninnesite,,
3177,3177,Johnsomervilleite,Johnsomervilleite,,
3178,3178,Johntomaite,Johntomaite,,
3179,3179,Johnwalkite,Johnwalkite,,
3180,3180,Jokokuite,Jokokuite,,
3181,3181,Joliotite,Joliotite,,
3182,3182,Jolliffeite,Jolliffeite,,
3183,3183,Jonesite,Jonesite,,
3184,3184,Jordanite,Jordanite,,
3185,3185,Jordisite,Jordisite,,
3186,3186,Jorgensenite,Jorgensenite,,
3187,3187,Joseite,Joseite,,
3188,3188,Joseite-A,Joseite-A,,
3189,3189,Joseite-B,Joseite-B,,
3190,3190,Joseite-a,Joseite-a,,
3191,3191,Joseite-b,Joseite-b,,
3192,3192,Jouravskite,Jouravskite,,
3193,3193,Juabite,Juabite,,
3194,3194,Juanitaite,Juanitaite,,
3195,3195,Juanite,Juanite,,
3196,3196,Julgoldite-(Fe2+),Julgoldite-(Fe2+),,
3197,3197,Julienite,Julienite,,
3198,3198,Jungite,Jungite,,
3199,3199,Junitoite,Junitoite,,
3200,3200,Junoite,Junoite,,
3201,3201,Juonniite,Juonniite,,
3202,3202,Jurbanite,Jurbanite,,
3204,3204,K-feldspar,K-feldspar,,
3205,3205,Kaatialaite,Kaatialaite,,
3206,3206,Kadyrelite,Kadyrelite,,
3207,3207,Kaersutite,Kaersutite,,
3208,3208,Kafehydrocyanite,Kafehydrocyanite,,
3209,3209,Kahlerite,Kahlerite,,
3210,3210,Kainite,Kainite,,
3211,3211,Kainosite-(Y),Kainosite-(Y),,
3212,3212,Kalborsite,Kalborsite,,
3213,3213,Kaliborite,Kaliborite,,
3214,3214,Kalicinite,Kalicinite,,
3215,3215,Kalifersite,Kalifersite,,
3216,3216,Kalininite,Kalininite,,
3217,3217,Kalinite,Kalinite,,
3218,3218,Kaliophilite,Kaliophilite,,
3219,3219,Kalipyrochlore,Kalipyrochlore,,
3220,3220,Kalistrontite,Kalistrontite,,
3221,3221,Kalsilite,Kalsilite,,
3222,3222,Kaluginite,Kaluginite,,
3223,3223,Kamacite,Kamacite,,
3224,3224,Kamaishilite,Kamaishilite,,
3225,3225,Kambaldaite,Kambaldaite,,
3226,3226,Kamchatkite,Kamchatkite,,
3227,3227,Kamiokite,Kamiokite,,
3228,3228,Kamitugaite,Kamitugaite,,
3229,3229,Kamotoite-(Y),Kamotoite-(Y),,
3230,3230,Kamphaugite-(Y),Kamphaugite-(Y),,
3231,3231,Kanemite,Kanemite,,
3232,3232,Kankite,Kankite,,
3233,3233,Kanoite,Kanoite,,
3234,3234,Kanonaite,Kanonaite,,
3235,3235,Kaolinite,Kaolinite,,
3236,3236,KaoliniteGroup,KaoliniteGroup,,
3237,3237,Kapitsaite-(y),Kapitsaite-(y),,
3238,3238,Karasugite,Karasugite,,
3239,3239,Karelianite,Karelianite,,
3240,3240,Karibibite,Karibibite,,
3241,3241,Karlite,Karlite,,
3242,3242,Karnasurtite-(Ce),Karnasurtite-(Ce),,
3243,3243,Karpatite,Karpatite,,
3244,3244,Karpinskite,Karpinskite,,
3245,3245,Kashinite,Kashinite,,
3246,3246,Kasolite,Kasolite,,
3247,3247,Kassite,Kassite,,
3248,3248,Kastningite,Kastningite,,
3249,3249,KastorClaim,KastorClaim,,
3250,3250,Katayamalite,Katayamalite,,
3251,3251,Katoite,Katoite,,
3252,3252,Katophorite,Katophorite,,
3253,3253,Katoptrite,Katoptrite,,
3254,3254,Kawazulite,Kawazulite,,
3255,3255,Kazakhstanite,Kazakhstanite,,
3256,3256,Kazakovite,Kazakovite,,
3257,3257,Keckite,Keckite,,
3258,3258,Kegelite,Kegelite,,
3259,3259,Kehoeite,Kehoeite,,
3260,3260,Keithconnite,Keithconnite,,
3261,3261,Keiviite,Keiviite,,
3262,3262,Keiviite-(Y),Keiviite-(Y),,
3263,3263,Keiviite-(Yb),Keiviite-(Yb),,
3264,3264,Keldyshite,Keldyshite,,
3265,3265,Kellyite,Kellyite,,
3266,3266,Kelyanite,Kelyanite,,
3267,3267,Kemmlitzite,Kemmlitzite,,
3268,3268,Kempite,Kempite,,
3269,3269,Kenhsuite,Kenhsuite,,
3270,3270,Kennedyite,Kennedyite,,
3271,3271,Kentbrooksite,Kentbrooksite,,
3272,3272,Kentrolite,Kentrolite,,
3273,3273,Kenyaite,Kenyaite,,
3274,3274,Kermesite,Kermesite,,
3275,3275,Kernite,Kernite,,
3276,3276,Kerstenite,Kerstenite,,
3277,3277,Kesterite,Kesterite,,
3278,3278,Kettnerite,Kettnerite,,
3279,3279,Keyite,Keyite,,
3280,3280,Keystoneite,Keystoneite,,
3281,3281,Khademite,Khademite,,
3282,3282,Khaidarkanite,Khaidarkanite,,
3283,3283,Khamrabaevite,Khamrabaevite,,
3284,3284,Khanneshite,Khanneshite,,
3285,3285,Kharaelakhite,Kharaelakhite,,
