"platform_name","platform_type"
"R/V Kilo Moana",NULL
"r/v Knorr","ship"
"R/V Knorr","Ship"
"R/V Knorr",NULL
"R/V Laurence M. Gould","Ship"
"R/V Laurence M. Gould","Shipp"
"R/V Laurenece M. Gould","Ship"
"R/V Le Nadir",NULL
"R/V Lulu","ship"
"R/V Lulu","Ship"
"R/V Marcus G. Langseth","ship"
"R/V Marion-Dufresne",NULL
"R/V Marion Dufresne",NULL
"R/V Maritime Maid",NULL
"R/V Maurice Ewing",NULL
"R/V Melville",NULL
"R/V Meteor","Ship"
"R/V Meteor ","ship"
"R/V Moana Wave","Ship"
"R/V Moana Wave",NULL
"R/V MOANA WAVE","Ship"
"R/V MOANA WAVE","SHIP"
"R/V Nathaniel B Palmer","Ship"
"R/V Nathaniel B Palmer",NULL
"R/V Nathaniel B. Palmer","SHALDRIL"
"R/V Nathaniel B. Palmer","ship"
"R/V Nathaniel B. Palmer","Ship"
"R/V Nathaniel B. Palmer","Shipp"
"R/V Nathaniel B. Palmer",NULL
"R/V Natsushima",NULL
"R/V Neil Armstrong",NULL
"R/V New Horizon","Ship"
"R/V Pelican",NULL
"R/V Pillsbury","ship"
"R/V Pillsbury",NULL
"r/v Pioneer","ship"
"R/V Point Sur","Ship"
"R/V Polarstern",NULL
"R/V Polastern","ship"
"R/V Poseidon","ship"
"R/V Pritchard","ship"
"R/V Prospector","Ship"
"R/V Robert D. Conrad","ship"
"R/V Robert D. Conrad","Ship"
"R/V Robert D. Conrad",NULL
"R/V Roger Revelle","Ship"
"R/V Roger Revelle",NULL
"R/V Ronald H. Brown",NULL
"R/V Sally Ride","Ship"
"R/V Sarmiento de Gamboa","Ship"
"R/V Seawolf","Ship"
"R/V Seward Johnson",NULL
"r/v Shearwater","Ship"
"R/V Sonne","ship"
"R/V Sonne",NULL
"R/V Southern Surveyor","ship"
"R/V Southern Surveyor","Ship"
"R/V Southern Surveyor",NULL
"R/V Sur Austral","Ship"
"R/V Tansei- Maru","SHIP"
"R/V TANSEI-MARU","Ship"
"R/V TG Thompson","Ship"
"R/V Thomas G. Thompson","ship"
"R/V Thomas G. Thompson","Ship"
"R/V Thomas G. Thompson",NULL
"r/v Thomas Washington","ship"
"R/V Thomas Washington",NULL
"R/V Thompson","Ship"
"R/V Trident","Ship"
"R/V Trident",NULL
"R/V Urania","ship"
"R/V Valdivia",NULL
"R/V Vema","Ship"
"R/V Vema",NULL
"R/V Wecoma",NULL
"R/V Western Flyer","Ship"
"R/V Western Flyer",NULL
"R/V Yaquina",NULL
"R/V Yokosuka","Ship"
"R/V Yokosuka",NULL
"R/V YOKOSUKA","SHIP"
"Rama",NULL
"Rapuhia","Ship"
"REHOBOTH","Ship"
"Researcher","Ship"
"Researcher 300","Ship"
"Ricky-0Ticky","Ship"
"RNZFA Tui","Ship"
"Robert Conrad","Ship"
"Robert D Conrad",NULL
"Robert D. Conrad","Ship"
"Robert Hays","Ship"
"Roger Revelle","Ship"
"Ron Brown",NULL
"Ronald Brown",NULL
"RV Annie",NULL
"RV Avon",NULL
"RV Blue Heron",NULL
"RV Endeavor",NULL
"RV EZR Diane",NULL
"RV Halcyon",NULL
"RV Happy",NULL
"RV Ibis",NULL
"RV JOIDES Resolution","Ship"
"RV Kerry Kelts",NULL
"RV Kilindi",NULL
"RV KRKII",NULL
"RV LeConte",NULL
"RV Liloya",NULL
"RV Mark Griffith",NULL
"RV Molly McGlue",NULL
"RV MPCA Hewes",NULL
"RV Multor",NULL
"RV Nathaniel B Palmer","Ship"
"RV Ndunduma",NULL
"RV Neuston",NULL
"RV Nuha",NULL
"RV Orion",NULL
"RV Pelican","Ship"
"RV Pritchard","Ship"
"RV Rangatahi II",NULL
"RV Seawolf","Ship"
"RV Sonne",NULL
"RV Topi",NULL
"RV Vereshagin",NULL
"RV Viphya",NULL
"RV Yogi",NULL
"S. P. Lee","Ship"
"S.P. Lee","Ship"
"SAFOD",NULL
"Salernum","Ship"
"San Francisco Bay","Ship"
"San Pablo","Ship"
"Scripps","Ship"
"Sea Scope","Ship"
"Sea Sounder","Ship"
"Sea Sounder?",NULL
"SEA VEE","Ship"
"Sea Wolf","Ship"
"Shackelton","Ship"
"Shackleton","Ship"
"Sikuliaq",NULL
"SIQUEIROS","Ship"
"Sir Horace Lamb","Ship"
"Site 504",NULL
"Site 84",NULL
"Sonne","ship"
"Sonne","Ship"
"Spencer F Baird","Ship"
"Spencer F. Baird",NULL
"Styx","Ship"
"Subastian","ROV"
"SuBastian","ROV"
"Sunbird","Ship"
"T. Washington","Ship"
"T. Washington",NULL
"Tangaroa","Ship"
"Tangaroa",NULL
"Thalassa","ship"
"The Thurstonian Alien Life Theory ALIEN TERRA FORMING  PROJECT ","Date"
"Theta","Ship"
"Thomas G Thompson ","Ship"
"Thomas G. Thompson","Ship"
"Thomas Thompson","Ship"
"Thomas Thompson",NULL
"THOMAS THOMPSON","Ship"
"Thomas Washington","ship"
"Thomas Washington","Ship"
"Thomas Washington",NULL
"Thompson","ship"
"Thompson","Ship"
"Thompson",NULL
"TN154","Ship"
"Touchwood, 38 degrees South","Boat"
"TowCam","Towed Camera"
"Trident","Ship"
"Trident",NULL
"Trieste","Ship"
"Trieste","Submersible / HOV"
"U.S.S. Nero","Ship"
"unknown","Ship"
"Unknown",NULL
"USCCGC Healy","Ship"
"USCGC Burton Island","Ship"
"USCGC Glacier","Ship"
"USCGC Glacier","Shipp"
"USCGC Glacier",NULL
"USCGC Healy","Icebreaker"
"USCGC Healy","ROV"
"USCGC Healy","Ship"
"USCGC HEALY","Ship"
"USCGC HEALY",NULL
"USCGC HEALY ",NULL
"USCGC Healy",NULL
"USGS SEA SOUNDER","Ship"
"USNS De Steiguer",NULL
"USNS Eltanin","Drill Ship"
"USNS Eltanin","ship"
"USNS Eltanin","Ship"
"USNS Eltanin","SHIP"
"UWITEC C2FN","Gravity corer"
"UWITEC C2FN","PISTON CORER"
"Uwitec CLIMCOR I","Gravity corer"
"Valdavia","Ship"
"Valdivia","Ship"
"Vema","Ship"
"Vema",NULL
"VEMA","Ship"
"Vinogradov","Ship"
"W.H. Buse","Ship"
"WEA.SHIP","ship"
"Weather Ship Lima","ship"
"Weather Ship Mike","ship"
"Wecoma","Ship"
"Wecoma",NULL
"WECOMA","Ship"
"Western Flyer","Ship"
"Western Venturer","Ship"
"Yaloc",NULL
"Yaquina","Ship"
"Yaquina 73","Ship"
"Yelcho","Ship"
"Yokosuka","Ship"
NULL,"coastal"
NULL,"Deep Lake Drilling System"
NULL,"DLDS"
NULL,"Drill Rig"
NULL,"Drill Rig "
NULL,"Gravity corer"
NULL,"Ice"
NULL,"Ice Shelf"
NULL,"LVT"
NULL,"Macintosh"
NULL,"Mission-specific platform"
NULL,"n/a"
NULL,"N/A"
NULL,"NA"
NULL,"Not Applicable"
NULL,"Other"
NULL,"R/V Coastal Profiler"
NULL,"R/V Point Sur"
NULL,"ROV"
NULL,"Scientific ship cruise "
NULL,"SHALDRIL"
NULL,"ship"
NULL,"Ship"
NULL,"SHIP"
NULL,"small craft"
NULL,"Small craft"
NULL,"SNORT-Suburban"
NULL,"Synthetic"
NULL,"truck-mounted drill rig"
NULL,"XXXXX"
NULL,NULL
