"locality","locality_description"
"Ampangabe",NULL
"Ampanobe",NULL
"Ampasimpility",NULL
"Ampasipoana",NULL
"Ampe quarry",NULL
"Amulia mine",NULL
"Amundsen Sea",NULL
"Amundsen Sea, Antarctica",NULL
"Amy Mc Nutt Well",NULL
"An Navit Quarry",NULL
"Ana Carolina",NULL
"Anaconda Mine",NULL
"Anahi Mine",NULL
"Anak Krakatau",NULL
"Analamisakama",NULL
"Analamisakana",NULL
"Anand Road Upper Mall",NULL
"Anatonu",NULL
"Anau'u",NULL
"Anawai Mine",NULL
"Ancient Forest","stream near trailhead"
"Ancient Forest","stream near trailhead (1st wooden bridge)"
"Ancon Sin Salida",NULL
"Ancora well",NULL
"Ancurí",NULL
"Andalusia core",NULL
"Andalusite Mine",NULL
"Andana tea plantation",NULL
"Andankatany",NULL
"Andapa",NULL
"Andavakohera",NULL
"Anderson Lake",NULL
"Anderson Mine",NULL
"Anderson Rock Products",NULL
"andesite of Rattlesnake Peak",NULL
"Andibakely",NULL
"Andilamena",NULL
"Andilana",NULL
"Andover Iron Mine",NULL
"Andra Almeria",NULL
"Andrahomana",NULL
"Andranomadio",NULL
"Andratiomana",NULL
"Andre Lake, Labrador",NULL
"Andrew's Volcano",NULL
"Andrews Quarry",NULL
"Andriamampy",NULL
"Andriamena",NULL
"Andrianampy",NULL
"Androscoggin River Area",NULL
"Androtgambo",NULL
"Anegene Kokofu Naka Shimane",NULL
"Anemometer Hill",NULL
"Anemone",NULL
"Anfoka",NULL
"Ange Siding",NULL
"Angel Lake",NULL
"Angelina Sierra",NULL
"Angell Farm",NULL
"Anglesey",NULL
"Anglo - American Mine",NULL
"Angoori Bagh Scheme No.2",NULL
"Angri",NULL
"Ani Mine",NULL
"Aniakchak",NULL
"Animas",NULL
"Animas Mine",NULL
"Animas Mine (II)",NULL
"Animas Section",NULL
"Animeekie Red Ace Pegmatite",NULL
"Aninoasa","45 24' 28"" N 23 18' 44"" E"
"Anjahamiary",NULL
"Anjamiary",NULL
"Anjanabonoina",NULL
"Anjouan",NULL
"Anka","21-0353-00-201"
"Anka","21-0353-00-202"
"Ankaditany",NULL
"Ankaratra",NULL
"Ankily",NULL
"Anna_IL",NULL
"Annabel Lee Mine",NULL
"annabel lee mine rosiclare level",NULL
"Annaberg Mine",NULL
"Annandagstoppane",NULL
"ANNANDALE EST",NULL
"Annenkov Island",NULL
"Annerod",NULL
"Annie Creek Mine",NULL
"Annie L Mine",NULL
"Annivers Valley",NULL
"Anniversary Bluff",NULL
"Anniviers Valley",NULL
"Annobón"," Lake Masafin"
"Annobón","Lake"
"Annobón","Lake Masafin"
"Annobón","Ridge"
"Annobón","River Dashim"
"Annobón","San Antonio"
"Annobón","San Pedro"
"Annobón","Santa Cruz"
"Annobón","Tortuga"
"Annoch Mor",NULL
"Anorthosite block in Beaver Bay Complex",NULL
"Anozivola",NULL
"Anpasipoana",NULL
"Anröchte",NULL
"ANSE A COLAS",NULL
"ANSE A LA BARQUE",NULL
"ANSE BELLEVILLE",NULL
"ANSE DU DEPOT",NULL
"ANSE DU ME",NULL
"ANSE GUYONNEAU",NULL
"ANSE LA ROCHE",NULL
"ANSE MARIGOT",NULL
"Anse Pierrot",NULL
"Anse Pierrot South",NULL
"Anse Severe",NULL
"Anse Source d'Argent",NULL
"Anse Source d'Argent West",NULL
"Anse Source d'Argent, La Digue Island",NULL
"Anse Source D’Argent West",NULL
"ANSE TURIN",NULL
"Anserouleu roadcut",NULL
"Antalya-Korkuteli road, 600m NW of Sögütcük","small dirt road off main road"
"Antamboletcibe",NULL
"Antamlbolehibe",NULL
"Antandrokomby",NULL
"Antanifotsy",NULL
"Antaractic Peninsula",NULL
"Antarctic Peninsula",NULL
"Antarctic Peninsula, Colins Bay",NULL
"Antarctic Peninsula, Collins Bay",NULL
"Antarctic Peninsula, Flandres",NULL
"Antarctic Peninsula, Weddell Sea",NULL
"Antarctic Pennsula, Weddell Sea",NULL
"Antelope",NULL
"Antelope Island Causeway",NULL
"Anthony's Nose",NULL
"Anthony Charlton Claim",NULL
"Antigonish Highlands",NULL
"Antler Mine",NULL
"ANTOINE RIVER",NULL
"Antongodrahoju",NULL
"Antoni Mine",NULL
"Antonio Pereira",NULL
"Antosongombato",NULL
"Antsanfibato",NULL
"Antsirana",NULL
"Antsongombato",NULL
"Anvers Island Area",NULL
"Anvil Lake",NULL
"Aoakawa Mine",NULL
"Aoker",NULL
"AON-03",NULL
"AON-04",NULL
"AON-05",NULL
"AON-06",NULL
"AON-07",NULL
"AON-08",NULL
"AON-09",NULL
"AON-10",NULL
"AON-11",NULL
"AON-12",NULL
"AON-13",NULL
"AON-14",NULL
"AON-15","Aonoyama volcanic field"
"AON-16",NULL
"AON-17",NULL
"AON-18",NULL
"AON-19","Aonoyama volcanic field"
"AON-20",NULL
"AON-21",NULL
"AON-22",NULL
"AON-24","Aonoyama volcanic field"
"AON-25","Aonoyama volcanic field"
"AOY-1",NULL
"Apache Iron District",NULL
"Apache Mine",NULL
"Apex Mine","Pittsburgh Coal. Amsterdam-Salineville Coal Field"
"Apex Mine",NULL
"Apla Campolongo",NULL
"Appalachian Basin","Eagle Coal. Probably from prospect hole under #7 mine"
"Appalachian Basin","Pocahontas #6 Coal"
"Appalachian Basin","Pocahontas No. 3 Coal. 1.0 mi NNE of junction of Mercer, Raleigh and Wyoming County lines"
"Appalachian Basin","Various coal seam localities"
"Appalachian Basin Coal Region","Brookville Coal, Country bank"
"Appalachian Basin Coal Region","Brookville Coal. Buzzard coal bank, S side of Tunnel Hill"
"Appalachian Basin Coal Region","Brookville Coal. Crow mine, McArthur (Jackson Coal Field) and Clarion Coal, near Sandy Run (Hocking Coal Field)"
"Appalachian Basin Coal Region","Brookville Coal. McClellan coal bank, Pine Creek Township, near south Sulger, ca. 3 miles east of Brookville"
"Appalachian Basin Coal Region","Brookville Coal. Mineweaser coal bank, 2.5 miles N of Brookville, ca. 0.5 miles W of north fork of Redbank Creek"
"Appalachian Basin Coal Region","Brookville Coal. Sugar Camp Run, McCracken coal bank, 2 miles NE of Brookville"
"Appalachian Basin Coal Region","Brookville or Clarion Coal. Ira Snyder Countryl bank, near Pine Grove School"
"Appalachian Basin Coal Region","Cannel and Hazard Coal. various counties"
"Appalachian Basin Coal Region","Cannel City Coal. 0.2 mi W of Cannel City"
"Appalachian Basin Coal Region","Chitestor bank, hill SE of Brookville above Humphrey's quarry"
"Appalachian Basin Coal Region","Clarion Coal. Baughman coal bank, 6 mi SW of Brookville"
"Appalachian Basin Coal Region","Elkhorn Coal. various mines and counties in KY"
"Appalachian Basin Coal Region","Elkhorn No. 1 and No. 2 Coal (upper layer). Roadcut off US 23/460 about 1/4 mile NNE of Boldman"
"Appalachian Basin Coal Region","From various coal seams and mines in several Ohio counties"
"Appalachian Basin Coal Region","Lower Freeport Coal"
"Appalachian Basin Coal Region","Lower Kittanning Coal (column 1) Massilion Coal Field?"
"Appalachian Basin Coal Region","Lower Kittanning Coal (column 1) Massillon Coal Field?"
"Appalachian Basin Coal Region","Lower Kittanning Coal. northern Ohio"
"Appalachian Basin Coal Region","Meigs Creek (No. 9- lower bench."
"Appalachian Basin Coal Region","Meigs Creek, (No. 9 - upper bench)"
"Appalachian Basin Coal Region","Mercer Coal. Carrier coal bank, near Ross School, Brookville area"
"Appalachian Basin Coal Region","Miller Coal. seam #1, #5"
"Appalachian Basin Coal Region","Nelm's Coal. Pittsburgh No. 8 Coal Field"
"Appalachian Basin Coal Region","No. 2 or Quakertown Coal. Sell farm, sec. 32. Jackson Coal Field"
"Appalachian Basin Coal Region","Pittsburgh Coal: Jamison #20 mine at Pleasant Unity and Adams mine, at Irwin"
"Appalachian Basin Coal Region","Pittsburgh, Freeport, Upper Kittanning and non-banded Coals. Various Pennsylvania localities in Allegheny and Armstrong Counties"
"Appalachian Basin Coal Region","Upper and Lower Bakerstown and Upper Kittanning coals, Moores Run, 1.3 mi E of Barton"
"Appalachian Basin Coal Region","Upper Freeport Cannel Coal; Somerset Co and Mississippian Coal, Leatherwood Station, New Bethlehem; Clarion Co."
"Appalachian Basin Coal Region","Upper Mercer? Coal, Brocius bank"
"Appalachian Basin Coal Region","Various Coal localites (see notes)"
"Appalachian Basin Coal Region","Various Coal seams"
"Appalachian Basin Coal Region","Various coal seams from various counties"
"Appalachian Basin Coal Region","Various localities"
"Appalachian Basin Coal Region","Various locations"
"Appalachian Basin Coal Region","Various Maryland locations; one from Virginia"
"Appalachian Basin Coal Region","Various Pennsylvania localities"
"Appalachian Basin Coal Region","Various Pennsylvania localities and 1 possible West Virginia locality"
"Appalachian Basin Coal Region",NULL
"Applecross",NULL
"Appleton",NULL
"Apricke",NULL
"aprox. 25 miles NE Aquia Creek",NULL
"Apwa College",NULL
"Aqua Vermelha",NULL
"Aquamorte",NULL
"Aquia type locality, Aquia Creek",NULL
"Arakawa Mine",NULL
"Aravaipa Dist.",NULL
"Arba Minch",NULL
"Arborlow",NULL
"Arca facies type locality",NULL
"Arcana Creek",NULL
"Arch",NULL
"Archer's Post",NULL
"Archer Mine",NULL
"Archers Post",NULL
"Archusa type locality",NULL
"Arco St. Stephens Quarry core",NULL
"Arctic Ocean",NULL
"Ardeth Lake",NULL
"Ardley Cove",NULL
"Area A, Locality 21",NULL
"Arena Valley",NULL
"Arenal","From AR-19 unit (formely ET3)"
"Arenal",NULL
"Arenal volcano",NULL
"ARES07WT-043D",NULL
"ARES07WT-044D",NULL
"ARES07WT-051D",NULL
"ARES07WT-052D",NULL
"ARES07WT-053D",NULL
"ARES07WT-055D",NULL
"Argadells, Australia",NULL
"Argana Basin",NULL
"Argentine Base",NULL
"Argo Glacier",NULL
"Argus Range",NULL
"ARGYLE",NULL
"Arizona",NULL
"Arizona Copper Co. Pit",NULL
"Arkansas River Valley",NULL
"Arlington Quarry","South side of Goose Creek"
"Arlington Quarry",NULL
"Arlington_KY",NULL
"Armacolola Gap",NULL
"Armando Cota Claim",NULL
"Armatan",NULL
"Armathwaite",NULL
"Armer 1 Liddy",NULL
"Arminius Mine",NULL
"Armstrong Branch",NULL
"Aron's Canyon",NULL
"Arouca",NULL
"Aroy",NULL
"Aroy Island",NULL
"Arr Colorado/Hilario",NULL
"Arr Grande",NULL
"Arr Guadalupe",NULL
"Arr San Raymundo I",NULL
"Arr San Raymundo II",NULL
"Arr San Raymundo III",NULL
"Arr. San Hilario Coqui",NULL
"Arr. San Hilario ISSAC",NULL
"Arran",NULL
"Arranja Bridge, Ethiopia",NULL
"Arriving to Crater Lake",NULL
"Arrowhead",NULL
"Arrowhead #1",NULL
"Arrowhead Lake",NULL
"Arrowhead Test Well",NULL
"Arroyal De Bareiras",NULL
"Arroyo Carrital",NULL
"Arroyo Castillo",NULL
"Arroyo Cieneguitas",NULL
"Arroyo de Cal, Chiapas",NULL
"Arroyo El Morral",NULL
"Arroyo Mesquital",NULL
"Arroyo Moba, Chiapas",NULL
"Arroyo Picana",NULL
"Arroyo San Gregorio",NULL
"Arschitza",NULL
"Art Johnson Mine",NULL
"Arten",NULL
"Artenberg Kinzigtal",NULL
"Arthur Harbor",NULL
"Artillery District",NULL
"Artillery Peak",NULL
"Arvin Quarry",NULL
"Arzberg",NULL
"Asamayama",NULL
"Asbestos",NULL
"Asbury Church",NULL
"Asbury Park",NULL
"Ascension Island",NULL
"Ascent Glacier",NULL
"Asceola Mine",NULL
"asdfasdf","asdfasdfa"
"Aserte Bridge, Ethiopia",NULL
"Ash Creek",NULL
"Ash Mtn.",NULL
"Ash Pit Road",NULL
"Ashaway Village",NULL
"Ashburton",NULL
"Ashfaq Chowk",NULL
"Ashio Mine",NULL
"ashland emery & corundum mine",NULL
"Ashland Mine",NULL
"Ashland Oil & Refining Co. #1 Hudson",NULL
"Ashton #1 core",NULL
"Ashton, ID, USA",NULL
"Asif Block",NULL
"ask Jean about these",NULL
"Askagen",NULL
"Askja",NULL
"Aslam Iqbal Park",NULL
"Asosan","Stop 27"
"Asosan","Stop 28"
"Assa",NULL
"Asse",NULL
"Asterby",NULL
"Asterillo mine",NULL
"Aston Branch",NULL
"Aston Dingle","Base of Gyfenni Wood Shales Member of the Nantglyn Flags Formation"
"Aston Flamville",NULL
"Astoria_Canyon",NULL
"at Pine Landing",NULL
"at Sampit River",NULL
"at Troll station",NULL
"Atacama Desert",NULL
"Atacama Fault System",NULL
"Atacocha Mine",NULL
"Atahualpa Mine",NULL
"Atalaya Claim",NULL
"Atbara River, Atbara, Sudan",NULL
"Atco well",NULL
"Aterro Controlado da Caturrita",NULL
"Athabasca oil sands region",NULL
"Atherton Tableland",NULL
"Athi River",NULL
"Atka",NULL
"ATKA ISLAND, ALEUTIANS",NULL
"Atlantic","Atlantic"
"Atlantic","Atlantis II Cruise 78 Station 1954"
"Atlantic City 187B, Youngs Pier",NULL
"Atlantic City ODP Leg 150X core",NULL
"Atlantic County Girl Scout #4 core",NULL
"Atlantic Mine",NULL
"Atlantic Ocean",NULL
"Atlantic trading",NULL
"Atlas #2 mine","Henryetta Coal. 4.56 mi NNE of Henryetta"
"Atlas Asbestos Mine",NULL
"Atlas Feldspar Quarry",NULL
"Atlas Mine","Lower Hignite Coal. 7 mi W of Middlesboro"
"Atlas Mine",NULL
"Atlas Quarry",NULL
"Atolia Mining Co. Mine",NULL
"Atsanganakoa",NULL
"Attapulgus Clay Co. #8 Pit",NULL
"Aubrey Peak",NULL
"Auburn Quarry",NULL
"Auchenlarie r


oadside",NULL
"Auchtermuchty",NULL
"Auckland Islands",NULL
"Auglaize Quarry",NULL
"Augst",NULL
"August Large property",NULL
"Augustine",NULL
"Auke Bay",NULL
"Auke Lake",NULL
"Auldhame",NULL
"Aullagas",NULL
"Aullivullin Quarry",NULL
"Aultnamain Inn towrds Lairgs B9176",NULL
"Auriflama, SP",NULL
"Aurignac",NULL
"Auro Lima Westsiti",NULL
"Aurora Glacier",NULL
"Aurora Mine",NULL
"Auschkulj",NULL
"Aust Ferry",NULL
"Austin",NULL
"Austin Run Mine",NULL
"Austinville Mine",NULL
"Austre Grønfjordbreen proximal (AGFBp)",NULL
"Austurgil (36)",NULL
"Austurgil (37)",NULL
"Austurgil (38)",NULL
"Auvers-sur-Oise, Bois-le-Roi",NULL
"Avala Mine",NULL
"Avalanche Corrie",NULL
"Avarua Mission garden",NULL
"Avatiu caldera",NULL
"Ave-alberoda",NULL
"Avellino",NULL
"Avera",NULL
"Avery Island",NULL
"Avicaya Pazna",NULL
"Avigait",NULL
"Avinyonet del Penedes, Spain",NULL
"Avondale",NULL
"Awaba Mine",NULL
"Awami Colony",NULL
"Awan Town",NULL
"Awassa",NULL
"Awatubi South",NULL
"AWC - 405B",NULL
"Axial High in Rift Valley",NULL
"Axial Seamount",NULL
"Ayesha Park",NULL
"Aykel",NULL
"Ayubia Market",NULL
"Azeem Ground",NULL
"Azgour Mine",NULL
"Aziz Colony",NULL
"Azores",NULL
"Azores Plateau ",NULL
"Azores Platform",NULL
"Azure Mining Camp",NULL
"B-Block Garden Town",NULL
"B-Block Gulberg-II",NULL
"B-Block Sabzazar",NULL
"B-I Gujjarpura",NULL
"B & W mine",NULL
"B B # 7 Quarry",NULL
"B B #7 Quarry",NULL
"b b mine",NULL
"B B Mine",NULL
"B BACOLET ESTATE",NULL
"B block Gulshan Ravi",NULL
"B Mine",NULL
"B. & O. R.R. Cut",NULL
"B.C. Mine",NULL
"B.G. Hoadley, Arlington",NULL
"B.H.P. Mine",NULL
"B.L.S. Drilling Co. #1 Hicks",NULL
"B.L.S. Drilling Co. #1 Slinkard",NULL
"B1-Block Gulberg-III",NULL
"B3139 Rd",NULL
"Baalbek Quarry",NULL
"Baba Bairi Peer",NULL
"Baba Farid Colony Near Press Ground",NULL
"Baba Farid Near Dera Idrees",NULL
"Baba Gadhi Shah",NULL
"Babajarmannos",NULL
"Babbcombe Quarry",NULL
"Babbington Creek / Whiskey Hill",NULL
"Babcock Construction Company",NULL
"Babson Farm Quarry",NULL
"Babu Sabu Tubewell",NULL
"Baby Mine",NULL
"Baccarato Condominio Mine",NULL
"BACHELORS HALL",NULL
"Bachivillers, SW of Beauvais",NULL
"Bachman Mine",NULL
"Back-barrier estuary",NULL
"Back River tunnel shaft",NULL
"Backdoor Bay",NULL
"background",NULL
"Bad Aussee",NULL
"Bad Berleburg","Ehem. Tagebau  Limburg, Profil 3"
"Bad Berleburg","Ehem. Tagebau  Limburg, Profil 4"
"Bad Berleburg","Ehem. Tagebau  Limburg, Profil 5"
"Bad Berleburg","Ehem. Tagebau  Limburg, Profil 6"
"Bad Berleburg",NULL
"Bad Freienwalde river oder frankfurt region",NULL
"Baddeck",NULL
"Baddesley Ensor Warwicks",NULL
"Badenthal",NULL
"Badenweiler",NULL
"Badger Mine",NULL
"Badger Spring Gulch",NULL
"Badlands",NULL
"Badu Hill quarry",NULL
"Badwater turtleback, Death Valley National Park",NULL
"Baejarhnurur",NULL
"Baffin Island","Adams Sound"
"Baffin Island","North Tremblay Peninsula"
"Baffin Island",NULL
"Bag City",NULL
"BAGATELLE ESTATE",NULL
"Bagay Shah",NULL
"Bagdad Mine",NULL
"Baggs Creek (Hidden Hand Mine)",NULL
"Bagh Gul Begum",NULL
"Bagh Munshi Ladha",NULL
"Baghichi Sethan wali",NULL
"Baghriyan Village",NULL
"Bagrot",NULL
"Bahamas",NULL
"Bahia Ainsworth",NULL
"Bahia Ano Nuevo",NULL
"Bahia Blossom",NULL
"Bahia Brooks",NULL
"Bahia Bueno",NULL
"Bahia Capitan Canepa",NULL
"Bahia Crossley",NULL
"Bahia de Aquila",NULL
"Bahia Douglas",NULL
"Bahia Ensendada",NULL
"Bahia Flinders",NULL
"Bahia Fontaine",NULL
"Bahia Franklin",NULL
"Bahia Indio",NULL
"Bahia Inuitil",NULL
"Bahia Lapataia",NULL
"Bahia Morris",NULL
"Bahia Oracion",NULL
"Bahia Orange",NULL
"Bahia Palermo",NULL
"Bahia Parry",NULL
"Bahia Pascoe",NULL
"Bahia Pia",NULL
"Bahia Pluschow",NULL
"Bahia Rosa",NULL
"Bahia San Nicholas",NULL
"Bahia Scotchwell",NULL
"Bahia Transicion",NULL
"Bahia Wodehouse",NULL
"Bahia Yendegaia",NULL
"Bahia York",NULL
"Bailey's Landing Field",NULL
"Bailey's Tank Garnet Quarry",NULL
"Baileys Creek",NULL
"Bainbirdge Fort",NULL
"Baixo Guandu",NULL
"Baja Line",NULL
"Bajri Addah",NULL
"Bakal Iron Mine",NULL
"Baker's Farm",NULL
"Baker Brook",NULL
"Baker Mine","Hart Coal."
"Baker Mine",NULL
"Baker Mountain",NULL
"Baker Ranch",NULL
"Baker River",NULL
"Baker Rocks",NULL
"Bakers Hill Salt Dome (nw)",NULL
"Bakers Mtn.",NULL
"Bakersville",NULL
"Bakra Mandi",NULL
"Balagne Nappe",NULL
"Balanced Rocks viewpoint (Montgomery Rd.)",NULL
"balangoda dist.",NULL
"Balblair forest 1 mile north of  Bonar bridge",NULL
"Balcones Province",NULL
"Bald Knob",NULL
"Bald Knob Mine","#15 Coal. 3 mi E of Nebo"
"Bald Mountain",NULL
"Bald Mtn. Extension",NULL
"Bald Point",NULL
"Baldred Rock",NULL
"BALEINE BAY",NULL
"BALEINE RIVER",NULL
"BALEINE TRACK",NULL
"Balf Quarry",NULL
"Balikun Shan (Barkol Tagh)",NULL
"Baliza Bridges",NULL
"Baliza Capitan Iturrieta",NULL
"Ball Bros. #1 Burlington",NULL
"Ball Bros. #4 Burlington",NULL
"Ball Hill",NULL
"Ballahullish Quarrry",NULL
"Ballard Hill",NULL
"Ballard Mine",NULL
"Ballard Quarry",NULL
"Ballast Point",NULL
"Balls Quarry Section",NULL
"Balmaceda",NULL
"Balmuccia peridotite quarry, E of village",NULL
"Balsam Gap",NULL
"Baltic",NULL
"Baltimore Mafic Complex","Ashburton Reservoir"
"Baltimore Mafic Complex","Bare Hils"
"Baltimore Mafic Complex","Forest Park Golf Course"
"Baltimore Mafic Complex","Hollofield Quarry"
"Baltimore Mafic Complex","Maryland-Pennsylvania state line"
"Baltimore Mafic Complex","Soldier's Delight"
"Balung Co",NULL
"Bambi",NULL
"Bamble Mine",NULL
"Bambollita Mine",NULL
"Bamboo",NULL
"Bamboo_Coral_Site",NULL
"Bamburgh",NULL
"Bamburgh Castle Well",NULL
"Bananal Pegmatite",NULL
"Bancroft",NULL
"Banda Api",NULL
"Bandaksli",NULL
"bandana",NULL
"Bandana-Olmsted, McCracken-Ballard Counties, Kentucky",NULL
"bank S of Valafell",NULL
"Bankowishen Mine",NULL
"Banks to Lowman Road",NULL
"Bankston",NULL
"Bankston Field",NULL
"Banner Mine",NULL
"Banner Mine Camp",NULL
"Banos De La Sierra Alhamilla",NULL
"Banska Bela",NULL
"banska stiavnica",NULL
"Banu Mine",NULL
"Banyas Mine",NULL
"Baotalong mine",NULL
"Bapska",NULL
"Bar le Duc","eruptive cone/crater"
"Bar Neck Farm","Chesapeake Bay"
"Baraberton",NULL
"Barashigri",NULL
"Barbacena",NULL
"Barbados airport",NULL
"Barbateni","45 21' 51"" N 23 10' 32"" E"
"Barber Hill Salt Dome",NULL
"Barberton Greenstone Belt","BARB4"
"Barberton Greenstone Belt","BARB5"
"Barbet",NULL
"Barcelona",NULL
"Barger Quarry",NULL
"Bargers Quarry",NULL
"Baringer Hill",NULL
"barite mines",NULL
"Barite Valley - Eastern Limb",NULL
"Barite Valley - Eastern Limb ",NULL
"Barker Farm",NULL
"Barker Hill Quarry",NULL
"Barker Mine",NULL
"Barkevikskjaer",NULL
"Barking Abbey",NULL
"Barkley's Pass",NULL
"Barkly Pass","Road cut outcrop exposures"
"Barlow Bend",NULL
"Barnack",NULL
"Barnard Castle",NULL
"Barnard Point",NULL
"Barnegat",NULL
"Barnes Creek",NULL
"Barnett",NULL
"Barnett-1",NULL
"Barnett Field",NULL
"Barnwell",NULL
"Baroid Mine",NULL
"Barom Mine",NULL
"Baron Giguy",NULL
"Barr Mine",NULL
"Barrancos",NULL
"Barren Ledge",NULL
"Barren River #1 Quarry",NULL
"Barrets Quarry",NULL
"Barrier reef",NULL
"Barrier reef offshore New Caledonia",NULL
"Barringer Mine",NULL
"Barro Monso",NULL
"Barrosso",NULL
"Barrow Environmental Observatory",NULL
"Barrow Mine",NULL
"Barrus Farm",NULL
"Barrus Ledge",NULL
"Barrytown",NULL
"Barrytown Field",NULL
"Barstow Mine",NULL
"Barton Mine",NULL
"Barton on Humber",NULL
"Barton Peninsula",NULL
"Bartoy mine",NULL
"Barvai quarry",NULL
"Barvai Quarry",NULL
"BAS VENA",NULL
"Basalt Canyon, N21-70-section1",NULL
"Basalt Profile (S. Upper Sheep Creek)",NULL
"basalt sill feeding pillow basalts on Chalky Butte",NULL
"BASCADERE ESTATE",NULL
"Base chair lift",NULL
"Base O'Higgins",NULL
"base of Dalodur",NULL
"base of Green Ridge",NULL
"Bashi boulders",NULL
"Bashi type locality",NULL
"Basic Refractories Quarry",NULL
"Basilensky Mine",NULL
"Basin",NULL
"Basin below Tanaga/East Tanaga, near BB29",NULL
"Bass","31-0576-00-207"
"Bass Mine",NULL
"Bassett Stone",NULL
"Bassick Mine",NULL
"Bassin Blanc","eruptive cone/crater"
"Bastenes",NULL
"Basti Saidan Shah",NULL
"Bastnas",NULL
"Bastra",NULL
"Batchawan Bay","Along Havilland Shores Dr"
"Bates Bros. Quarry",NULL
"Batesville_MS",NULL
"Bath Mines",NULL
"Bathsheba Mine",NULL
"Batopilas Mining Co.",NULL
"Battery Drew",NULL
"Battlefield",NULL
"Battleship Promontory",NULL
"Batys-tau",NULL
"Baucaul",NULL
"Baukol-Noonan mine","Noonan Coal. NW1/4, sec. 11, T162N; R95W"
"Bautista Canyon",NULL
"Baveno",NULL
"Bawana Mine",NULL
"Baxter's Fluorite Mines",NULL
"Baxter Mine",NULL
"Bay Gas Salt Dome Gas Storage Facility 2 at McIntosh",NULL
"Bay Gas Salt Dome Gas Storage Facility 3 at McIntosh",NULL
"Bay Gas Salt Dome Gas Storage Facility 4 at McIntosh",NULL
"BAY HEBE",NULL
"Bay of Funny",NULL
"Bay of Islands ophiolite",NULL
"Bay State Mine",NULL
"BAY W OF GALBY",NULL
"Bayan-obo Deposit",NULL
"Bayan Obo","Bayan Obo ore deposit: At foot of hill-Stratigraphically top of H8"
"Bayan Obo","Bayan Obo ore deposit: H1"
"Bayan Obo","Bayan Obo ore deposit: H6"
"Bayan Obo","Bayan Obo ore deposit: H6: ~100 m East of 8B13a,b,c"
"Bayan Obo","Bayan Obo ore deposit: H6: ~100 meters south of 7B6"
"Bayan Obo","Bayan Obo ore deposit: H6: ~500 meters North of the East Ore Body"
"Bayan Obo","Bayan Obo ore deposit: H6: ~75 meters south of 7B5"
