fullKey,locality_id,,,,,,
NULLNULLNULLNewSouthWalesNULLNULL13AbercombieRiver,180,,,,,,
NULLNULLNULLNewSouthWalesNULLNULL13AbercrambieRiver,180,,,,,,
"NULLNULLNULLNewSouthWalesNULLNULL13AbercrombieRiverMultiplerecordsfromGeoNamesmatchedthelocalityAbercrombieRiver,NewSouthWales,Australia,includinghttp://geonames.org/11776443andhttp://geonames.org/2178367.Thesituate.pyscriptwasunabletodistinguishbetweent",180,,,,,,
"NULLAberdeenMineMineNewMexicoNULLMiningDistricts228LocalityKey:VirginiaDistrictCoordinatesforAberdeenMine(DepositID:10247569)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstatewhenminenam",181,,,,,,
NULLAberdeenQuarryMineMinnesotaNULLOrtonville228,182,,,,,,
"NULLNULLNULLScotlandNULLNULL227Aberdeen,GlenLuiMultiplefeaturesofsimilarapparentspecificitywerematchedtoGeoNamesrecordsusingthesituate.pyscript,includingAberdeen,AberdeenCity,Scotland,UnitedKingdom(n=1)andGlenLui/TheGlenLui,Aberdeenshire,Scotland,UnitedK",183,,,,,,
NULLNULLNULLMississippiMonroeCo.NULL228Aberdeen,184,,,,,,
NULLNULLNULLScotlandNULLNULL227Aberdeen,185,,,,,,
AberdeenshireNULLNULLNULLNULLNULL227,187,,,,,,
NULLNULLNULLEnglandNULLNULL227Aberdeenshire,187,,,,,,
NULLNULLNULLScotlandNULLNULL227Aberdeenshire,187,,,,,,
AberfoyleMineNULLNULLTasmaniaRossardenRossarden13,188,,,,,,
NULLAberfoyleMineMineTasmaniaNULLNULL13,188,,,,,,
"NULLAberllynMineMineWalesNULLNULL227Gwynnedd,Llanrwst",189,,,,,,
NULLNULLNULLOregonNULLNULL228AbertLake,190,,,,,,
"NULLAbgMineMineColoradoNULLRico228NearRicoCoordinatesforAbgMine(MRDSID:D010757,DepositID:10014116)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",191,,,,,,
NULLNULLNULLWyomingNULLNULL228AbiatharPeakSection,192,,,,,,
